asx_code,name,stage_tier,lead_program_note
CSL,CSL Limited,large,Plasma-derived and recombinant therapies; broad commercial and development portfolio
TLX,Telix Pharmaceuticals,large,Radiopharmaceutical therapeutics and imaging agents in oncology
NEU,Neuren Pharmaceuticals,large,Trofinetide (Rett syndrome) and NNZ-2591 in neurodevelopmental disorders
MSB,Mesoblast,mid,Allogeneic mesenchymal stromal cell therapies (remestemcel-L / rexlemestrocel-L)
CUV,Clinuvel Pharmaceuticals,mid,Afamelanotide (SCENESSE) melanocortin therapeutics
OPT,Opthea,mid,Sozinibercept (OPT-302) for wet age-related macular degeneration
IMM,Immutep,mid,Eftilagimod alpha (efti) LAG-3 immunotherapy
PAR,Paradigm Biopharmaceuticals,mid,Injectable pentosan polysulfate sodium for osteoarthritis
SPL,Starpharma Holdings,mid,DEP dendrimer drug-delivery oncology candidates
AVH,Avita Medical,mid,RECELL regenerative cell therapy for wounds and burns
IMU,Imugene,early,"Oncolytic virus and CAR-T oncology pipeline (azer-cel, VAXINIA)"
CHM,Chimeric Therapeutics,early,CHM 1101 / CHM 2101 cell therapy candidates
PTX,Prescient Therapeutics,early,PTX-100 and OmniCAR targeted oncology platform
KZA,Kazia Therapeutics,early,Paxalisib for glioblastoma and brain cancers
RAC,Race Oncology,early,Bisantrene (RC220) in acute myeloid leukaemia and solid tumours
DXB,Dimerix,early,DMX-200 for focal segmental glomerulosclerosis
CYP,Cynata Therapeutics,early,Cymerus mesenchymal stem cell platform (CYP-001/CYP-004)
PER,Percheron Therapeutics,early,Avicursen (ATL1102) for Duchenne muscular dystrophy
IMC,Immuron,early,Oral polyclonal antibody therapeutics (Travelan / IMM-124E)
BOT,Botanix Pharmaceuticals,early,Sofdra (sofpironium) for primary axillary hyperhidrosis
RCE,Recce Pharmaceuticals,early,R327 synthetic anti-infective for sepsis and infections
PXS,Pharmaxis,early,Amine oxidase inhibitors for fibrotic disease and myelofibrosis
ACW,Actinogen Medical,early,Xanamem (emestedastat) for Alzheimer's disease and depression
ATX,Amplia Therapeutics,early,Narmafotinib (AMP945) FAK inhibitor in pancreatic cancer
AGN,Argenica Therapeutics,early,ARG-007 neuroprotective peptide for ischaemic stroke
NYR,Nyrada,early,Preclinical/early-clinical cholesterol-lowering and brain injury candidates
IHL,Incannex Healthcare,early,IHL-42X for obstructive sleep apnoea and psychedelic-assisted therapies
EMD,Emyria,early,MDMA-assisted therapy and EMD-RX cannabinoid drug candidates
MVP,Medical Developments International,early,Penthrox (methoxyflurane) analgesic and respiratory products
PYC,PYC Therapeutics,early,RNA therapeutics for retinitis pigmentosa type 11 and other genetic disease
